id,description,insecure_code,secure_code,severity,explanation_of_fix,Link,Confidence
Sol-001,"The vulnerability arises from missing a signer check for an account, which could allow unauthorized actions.","authority: AccountInfo<'info>,","authority: Signer<'info>,",High,"The secure code uses `Signer<'info>` instead of `AccountInfo<'info>`, ensuring the account is a transaction signer. This prevents unauthorized calls by requiring cryptographic proof of intent, a critical Solana security requirement.",,Medium
Sol-002,"The insecure code fails to properly check that the caller is the owner of the token before proceeding with operations, leading to a potential vulnerability where unauthorized users could interact with the contract as if they were the owner.",if authority.key != token.owner { return Err(ProgramError::InvalidAccountData); },#[account(constraint = authority.key == &token.owner)],High,"The secure code uses Anchor’s `#[account(constraint)]` to enforce that the authority’s key matches the token’s owner at the account validation stage, preventing unauthorized operations by embedding the check in the framework’s runtime.",,Medium
Sol-003,"The vulnerability arises from the use of incorrect `seeds` for generating a Program Derived Address (PDA), thereby potentially allowing unauthorized token withdrawal or interaction with the wrong PDA.","let seeds = &[ctx.accounts.pool.mint.as_ref(), &[ctx.accounts.pool.bump]];","let seeds = &[ctx.accounts.pool.withdraw_destination.as_ref(), &[ctx.accounts.pool.bump]];",Critical,"The secure code corrects the PDA seeds to use `withdraw_destination` instead of `mint`, ensuring the PDA aligns with the intended account. This prevents attackers from withdrawing tokens from an unintended PDA, a severe exploit vector.",,Medium
Sol-004,"The vulnerability involves incorrect seed canonicalization when creating a program address. Insecure code uses a provided `bump` seed that might not match the bump seed calculated by the Solana runtime, leading to potential bypass of security checks or other unintended behaviors.",if address != ctx.accounts.data.key() { return Err(ProgramError::InvalidArgument); },"let (_, expected_bump) = Pubkey::find_program_address(&[key.to_le_bytes().as_ref()], ctx.program_id); if expected_bump != bump { return Err(ProgramError::InvalidArgument); }",High,"The secure code calculates the canonical `bump` using `Pubkey::find_program_address` and compares it to the provided `bump`, ensuring the PDA is valid and matches runtime expectations. This prevents spoofing or bypassing PDA-based security checks.",,Medium
Sol-005,"The ""TypeCosplay"" vulnerability involves the absence of a check to ensure an account's data matches the expected account type or discriminant, allowing an attacker to pass an account of an incorrect type.",if ctx.accounts.user.owner != ctx.program_id { return Err(ProgramError::IllegalOwner); },if ctx.accounts.user.owner != ctx.program_id { return Err(ProgramError::IllegalOwner); } if user.discriminant != AccountDiscriminant::User { return Err(ProgramError::InvalidAccountData); },Medium,"The secure code adds a `discriminant` check to verify the account’s type matches `AccountDiscriminant::User`, preventing attackers from passing a different account type (e.g., a token account as a user account), which could disrupt contract logic.",,Medium
Sol-006,DuplicateMutableAccounts,let user_a = &mut ctx.accounts.user_a; let user_b = &mut ctx.accounts.user_b;,if ctx.accounts.user_a.key() == ctx.accounts.user_b.key() { return Err(ProgramError::InvalidArgument) } let user_a = &mut ctx.accounts.user_a; let user_b = &mut ctx.accounts.user_b;,Medium,"The secure code checks if `user_a` and `user_b` have the same key, rejecting duplicates. Solana disallows duplicate mutable accounts to prevent data races, and this fix ensures runtime compliance and prevents unintended state changes.",,Medium
Sol-007,"The vulnerability arises from not verifying if an account provided as 'authority' in a Solana smart contract function has actually signed the transaction, potentially allowing unauthorized actions.","msg!(""GM {}"", authority.key().to_string());","if !authority.is_signer { return Err(ProgramError::MissingRequiredSignature); } msg!(""GM {}"", authority.key().to_string());",High,"The secure code adds an `is_signer` check, ensuring the `authority` account signed the transaction. This prevents unauthorized execution by requiring explicit signer validation, a fundamental Solana security measure.",,Medium
Sol-008,Not verifying if an account provided to a smart contract is the expected system account could lead to malicious actors exploiting the contract by providing incorrect accounts. This issue is particularly critical when dealing with system accounts like the Rent sysvar in Solana.,"msg!(""Rent Key -> {}"", rent.key().to_string());","require_eq!(rent.key(), sysvar::rent::ID); msg!(""Rent Key -> {}"", rent.key().to_string());",Medium,"The secure code uses `require_eq!` to verify the `rent` account matches the Rent sysvar’s ID (`sysvar::rent::ID`). This ensures the contract uses the correct system account, preventing attackers from substituting fake sysvars.",,Medium
Sol-009,"The vulnerability arises from not properly validating the ownership of a token account in smart contracts, which could allow unauthorized access to sensitive actions or information by failing to ensure the account is a valid SPL token account owned by the SPL Token Program and controlled by the expected authority.",if authority.key != &token.owner { return Err(ProgramError::InvalidAccountData); },if *token.owner != *authority.key { return Err(ProgramError::InvalidAccountData); } if token.account_type != spl_token::state::AccountType::Account { return Err(ProgramError::InvalidAccountData); } if *token.program != spl_token::id() { return Err(ProgramError::InvalidAccountData); },High,"The secure code checks that the token’s owner matches the authority, the account is an SPL token account (`AccountType::Account`), and it’s owned by the SPL Token Program (`spl_token::id()`). This ensures only valid, authority-controlled token accounts are used, preventing unauthorized access.",,Medium
Sol-010,"The vulnerability arises from not checking if the called program in a Cross-Program Invocation (CPI) is the intended one, allowing potential arbitrary executions by malicious actors.","fn cpi(token_program: AccountInfo, source: AccountInfo, destination: AccountInfo, authority: AccountInfo, amount: u64) { invoke(&transfer(token_program.key, source.key, destination.key, authority.key, &[], amount), &[source, destination, authority]); }","fn cpi_secure(token_program: AccountInfo, source: AccountInfo, destination: AccountInfo, authority: AccountInfo, amount: u64) { if &TOKEN_PROGRAM_ID != token_program.key { panic!(""Incorrect program ID""); } invoke(&transfer(token_program.key, source.key, destination.key, authority.key, &[], amount), &[source, destination, authority]); }",Critical,"The secure code verifies the `token_program` matches `TOKEN_PROGRAM_ID` before the CPI, preventing calls to malicious programs. This stops arbitrary execution, a severe risk in Solana’s CPI model.",,Medium
